Year,Provider ID,Name,Street Address,City,State,ZIP Code,HRR,Hospice Beneficiaries,Total Days,Total Medicare Payment Amount,Total Medicare Standard Payment Amount,Total Charge Amount,Percent RHC Days,Physician Services,Home Health Visit Hours per Day,Skilled Nursing Visit Hours per Day,Social Service Visit Hours per Day,Total Live Discharges,Hospice beneficiaries with 7 or fewer hospice care days,Hospice beneficiaries with more than 60 hospice care days,Hospice beneficiaries with more than 180 hospice care days,Home Health Visit Hours per Day During Week Prior to Death,Skilled Nursing Visit Hours per Day During Week Prior to Death,Social Service Visit Hours per Day During Week Prior to Death,Average Age,Male hospice beneficiaries,Female hospice beneficiaries,White hospice beneficiaries,Black hospice beneficiaries,Asian hospice beneficiaries,Hispanic hospice beneficiaries,Other/unknown race hospice beneficiaries,Medicare Advantage hospice beneficiaries,Medicaid Eligible hospice beneficiaries,Hospice beneficiaries with a primary diagnosis of cancer,Hospice beneficiaries with a primary diagnosis of dementia,Hospice beneficiaries with a primary diagnosis of stroke,Hospice beneficiaries with a primary diagnosis of circulatory/heart disease,Hospice beneficiaries with a primary diagnosis of respiratory disease,Hospice beneficiaries with other primary diagnoses ,Site-of-service Home hospice beneficiaries,Site-of-service Assisted Living Facility hospice beneficiaries,Site-of-service Long-term-care or non-skilled Nursing Facility hospice beneficiaries,Site-of-service Skilled Nursing Facility hospice beneficiaries,Site-of-service Inpatient Hospital hospice beneficiaries,Site-of-service Inpatient Hospice hospice beneficiaries,Site-of-service Other Facility hospice beneficiaries
2014,251508,MAGNOLIA REGIONAL HEALTH CENTER HH AND HOSPICE AGE,2034 EAST SHILOH ROAD,CORINTH,MS,38834,TN - Memphis,65,3420,453795.55,526015.33,868577.01,100,0,0.06,0.1,0.02,15,,20,,0.07,0.23,0.02,77,35,30,60,,,0,0,,14,30,0,,15,,12,63,,0,0,,0,0
2014,251505,"HOSPICE MINISTRIES, INC",450 TOWNE CENTER BLVD,RIDGELAND,MS,39157,MS - Jackson,845,26586,4919071.17,5585501.01,11870362.77,89,365,0.48,0.41,0.03,45,376,107,34,0.45,0.77,0.04,80,360,485,646,192,,0,,107,150,320,115,71,115,101,123,287,,46,,140,227,143
2014,251504,BAPTIST HOSPICE-GOLDEN TRIANGLE,2623 5TH STREET NORTH,COLUMBUS,MS,39705,MS - Tupelo,133,4786,732247.2,847177.33,1709906.55,95,0,0.13,0.29,0.06,13,55,28,,0.13,0.79,0.08,78,64,69,94,39,0,0,0,,31,45,,,25,28,17,84,0,,0,44,0,
2014,251501,NORTH MISSISSIPPI MEDICAL CTR,422-A EAST PRESIDENT STREET,TUPELO,MS,38801,MS - Tupelo,588,23071,3616295.3,4180306.99,9367217.41,95,481,0.43,0.55,0.03,86,199,123,28,0.79,1.25,0.05,78,256,332,492,92,,,,30,141,195,67,73,59,106,88,309,,,44,0,228,0
2014,271530,ROCKY MOUNTAIN HOSPICE-BUTTE,19 DISCOVERY DR,BUTTE,MT,59701,MT - Missoula,370,35784,5069672.8,5502872.11,8894326.9,100,0,0.43,0.26,0.04,56,49,174,73,0.42,0.54,0.09,82,138,232,357,0,,,,41,78,91,83,25,103,40,28,151,120,,93,,0,
2014,271524,CLARK FORK VALLEY HOSPITAL HOSPICE,10 KRUGER RD,PLAINS,MT,59859,MT - Missoula,24,2206,318145.21,344027,439705.55,100,0,0.19,0.31,0.07,,,11,,0.1,0.99,0.12,77,12,12,21,0,0,,,,,,,,,,,24,0,0,0,0,0,0
2014,271519,HRH HOSPICE,2600 WILSON ST,MILES CITY,MT,59301,MT - Billings,32,1084,151941.66,165924.43,286129.87,100,0,0.17,0.3,0.05,,,,,0.31,0.62,0.07,83,11,21,32,0,0,0,0,,,13,,,,,,14,,17,0,0,0,
2014,271515,HOME OPTIONS HOSPICE,275 CORPORATE DR STE 600,KALISPELL,MT,59901,MT - Missoula,405,17375,2572134.85,2785926.58,4180705.67,98,15,0.13,0.34,0.03,27,124,97,16,0.2,0.78,0.04,80,164,241,394,0,,,,76,61,166,36,13,57,46,87,240,33,,77,50,0,
2014,271514,FRONTIER HOME HEALTH AND HOSPICE,800 FRONT ST,HELENA,MT,59601,MT - Billings,276,17269,2447798.19,2660680.84,3885890.56,100,,0.17,0.26,0.08,33,48,97,22,0.19,0.68,0.15,82,132,144,268,0,,,,49,55,63,65,15,48,52,33,129,67,72,,,0,0
2014,271509,HOSPICE OF BOZEMAN DEACONESS,3810 VALLEY COMMONS STE 1,BOZEMAN,MT,59718,MT - Billings,255,16438,2329249.55,2527934.39,3604302.89,100,11,0.14,0.28,0.07,27,45,91,24,0.12,0.89,0.2,83,105,150,249,0,0,,,46,27,67,74,18,37,19,40,104,122,25,,0,0,
2014,271504,LIVINGSTON HOSPICE CARE,504 S 13TH ST,LIVINGSTON,MT,59047,MT - Billings,44,1365,198287.62,215198.9,354198.72,98,,0.07,0.19,0.04,,,,,0.1,0.47,0.04,83,21,23,43,0,0,,,,,16,,,,,,31,11,,0,,0,0
2014,271500,PARTNERS IN HOME CARE HOSPICE,2687 PALMER ST STE B,MISSOULA,MT,59808,MT - Missoula,413,19617,3000961.64,3191419.05,4852283.92,98,290,0.11,0.25,0.07,32,114,101,23,0.1,0.66,0.13,80,208,205,388,0,,,19,58,67,135,44,29,64,45,96,249,64,0,39,61,0,0
2014,271521,BEARTOOTH BILLINGS CLINIC HOSPICE,2525 N BROADWAY,RED LODGE,MT,59068,MT - Billings,41,2586,365137.71,395995.05,547006.06,98,,0.09,0.27,0.07,,,13,,0.15,0.75,0.08,84,23,18,40,0,0,,,,,,,,11,,,21,,16,0,0,0,
2014,271523,PIONEER MEDICAL CENTER HEARTS & HANDS HOSPICE,301 W 7TH AVE,BIG TIMBER,MT,59011,MT - Billings,12,496,73490.55,79850.18,96053,98,0,0,0,0,,,,,0,0,0,82,,,12,0,0,0,0,,0,,0,0,,,0,11,0,0,,0,0,
2014,271527,ASPEN HOSPICE OF MONTANA INC,107 BELL XING W,STEVENSVILLE,MT,59870,MT - Missoula,73,4099,579701.83,629139.45,848080.2,100,,0.18,0.23,0.06,14,13,20,,0.17,0.5,0.12,83,35,38,71,0,0,,,11,,31,21,0,,,,50,,,15,0,0,0
2014,271528,ROCKY MOUNTAIN HOSPICE,2110 OVERLAND AVE STE 111,BILLINGS,MT,59102,MT - Billings,428,26471,3824500.43,4145548.9,6245324.74,99,0,0.26,0.29,0.04,39,128,129,47,0.22,0.65,0.08,83,199,229,412,,,,,66,67,92,90,18,111,70,47,170,132,,80,38,,
2014,271525,HOSPICE OF MISSOULA LLC,800 KENSINGTON AVE STE 204,MISSOULA,MT,59801,MT - Missoula,156,10346,1552438.34,1645680.13,2275142.22,99,13,0.24,0.28,0.07,14,34,52,15,0.23,1.2,0.19,81,66,90,151,,,0,,24,27,33,31,,36,,29,81,35,,20,15,0,
2014,271533,ROCKY MOUNTAIN HOSPICE,2409 DEARBORN AVE STE E,MISSOULA,MT,59801,MT - Missoula,72,5716,832232.88,885696.97,1293903.15,100,0,0.28,0.28,0.04,,,31,,0.31,0.59,0.07,86,28,44,72,0,0,0,0,17,11,16,16,,18,,,45,20,0,,,,0
2014,271520,BARRETT MEMORIAL HOSPICE,600 MT HWY 91 S,DILLON,MT,59725,MT - Missoula,43,2562,377104.87,414916.53,930536.63,98,16,0,0.3,0.01,,,11,,0,0.98,0.04,81,17,26,41,0,0,,,,,20,,,,,,21,11,,0,,0,
2014,271501,HOSPICE OF ST PETERS COMM HOSP,2475 BROADWAY ST,HELENA,MT,59601,MT - Billings,182,7022,1074416.86,1185966.74,2311368.09,97,0,0.21,0.32,0.08,23,58,36,,0.27,0.82,0.16,82,77,105,175,0,0,,,32,21,54,,,29,32,36,78,39,28,0,37,0,0
2014,271502,RIVERSTONE HEALTH,2626 FIRST AVE S,BILLINGS,MT,59101,MT - Billings,360,20188,2894551.87,3138763.68,5155352.44,99,,0.29,0.26,0.06,16,115,90,37,0.47,0.84,0.17,80,147,213,332,,0,,21,68,47,163,23,20,54,47,53,167,38,24,18,,,106
2014,271503,HIGHLAND HOSPICE,3703 HARRISON AVE,BUTTE,MT,59701,MT - Missoula,56,6005,852201.72,925121.2,1411472.38,100,16,0.25,0.27,0.06,,,29,13,0.19,0.88,0.12,82,17,39,56,0,0,0,0,,,30,,,,,,35,15,,0,0,0,
2014,271511,SIDNEY HEALTH CENTER HOSPICE,216 14TH AVE SW,SIDNEY,MT,59270,MT - Billings,17,437,61412.39,66953.2,164895.14,100,0,0.42,0.67,0.01,,,,,0.48,1.32,0.03,73,,,15,0,,0,,0,,13,,,,0,,15,0,0,,0,0,
2014,271512,HOSPICE OF CENTRAL MONTANA,408 WENDELL AVE,LEWISTOWN,MT,59457,MT - Billings,55,3230,462024.74,501897.49,845748.69,97,0,0.14,0.4,0.1,,11,20,,0.46,1.07,0.15,84,23,32,54,0,0,,,,12,17,,,,,13,20,,0,28,0,0,
2014,271513,LAKE COUNTY HOME OPTIONS,711 MAIN ST SW,RONAN,MT,59864,MT - Missoula,60,3680,527950.27,572325.04,870213.82,99,,0.21,0.35,0.08,,13,23,,0.17,0.81,0.13,81,27,33,48,0,0,,,,,23,,,,,14,38,,,12,,0,0
2014,271516,BEAR PAW HOSPICE,30 W 13TH ST,HAVRE,MT,59501,MT - Great Falls,30,1347,188518.78,206061.05,503256.75,99,0,0.01,0.26,0.05,,,,,0,0.54,0.07,82,16,14,24,0,,0,,,,14,,,,,,19,,,0,0,0,0
2014,271517,GLENDIVE MEDICAL CENTER HOSPICE,202 PROSPECT DR,GLENDIVE,MT,59330,MT - Billings,34,1190,166545.92,182049.69,326818.57,99,0,0.03,0.23,0.05,,,,,0.04,0.49,0.08,81,19,15,34,0,0,0,0,,,,,,,,,16,0,18,0,0,0,0
2014,271508,CENTER FOR HOSPICE & PALLIATIVE CARE,1200 WESTWOOD DR,HAMILTON,MT,59840,MT - Missoula,121,5356,765396.15,831616.54,1192204.41,95,0,0.05,0.14,0.04,15,28,30,,0.04,0.25,0.05,83,60,61,118,0,0,,,22,14,35,,,25,13,30,69,,0,14,0,,23
2014,271506,ANACONDA PINTLER HOSPICE,118 E SEVENTH ST STE 1A,ANACONDA,MT,59711,MT - Missoula,29,2533,357849.63,388436.74,677040.41,100,0,0.2,0.24,0.1,,,16,,0.16,0.8,0.24,81,13,16,28,0,0,,,,,16,0,0,,,,29,0,0,0,0,0,0
2014,271507,PEACE HOSPICE OF MONTANA,2600 15TH AVE S,GREAT FALLS,MT,59405,MT - Great Falls,500,21399,3473830.57,3886310.62,6886581.3,94,531,0.03,0.18,0.04,31,159,118,21,0.02,0.36,0.07,81,243,257,475,,,,18,88,73,158,71,26,62,73,110,163,90,,61,,100,77
2014,341598,AMEDISYS HOSPICE CARE,1072 US HIGHWAY 64 W,PLYMOUTH,NC,27962,NC - Greenville,54,5177,709779.22,800084.15,1460340.14,100,0,0.43,0.23,0.08,,,21,,0.57,0.98,0.12,80,23,31,39,15,0,0,0,,,20,12,,,,,44,,,,,0,
2014,341596,AMEDISYS HOSPICE CARE,30 THREE HUNTS DRIVE SUITE C,PEMBROKE,NC,28372,NC - Durham,153,12947,1870957.53,2008924.71,3465874.02,99,0,0.37,0.31,0.07,47,12,70,20,0.56,0.93,0.19,79,63,90,110,27,,,13,35,41,39,44,,,30,19,131,,,13,,0,0
2014,341595,CONTINUUM HOME CARE & HOSPICE OF HALIFAX COUNTY,"1609 EAST 10TH STREET, UNIT 3",ROANOKE RAPIDS,NC,27870,NC - Raleigh,40,3607,485093.82,554820.26,891347.05,100,,1.02,0.26,0.08,,,19,,0.87,0.85,0.17,84,,28,23,17,0,0,0,,22,,13,,,,,,,0,17,0,0,
2014,341594,CONTINUUM HOME CARE & HOSPICE  OF LENIOR COUNTY,704 M PLAZA BOULEVARD,KINSTON,NC,28501,NC - Greenville,73,6943,983926.41,1089801.93,1821436.41,99,82,0.97,0.29,0.07,,,35,16,0.8,0.94,0.16,84,29,44,51,22,0,0,0,11,41,,25,,,,14,19,,0,45,0,0,
2014,341593,"HOSPICE OF PAMLICO COUNTY, INC",11146 NC HWY 55 E,GRANTSBORO,NC,28529,NC - Greenville,33,1668,229742.01,259312.64,232326.36,99,,0,0,0,,,,,0,0,0,81,13,20,31,,0,0,,,,13,,,,,,27,0,,,0,0,0
2014,341591,UNITED HOSPICE OF EASTERN CAROLINA,301 SOUTH CHURCH STREET SUITE 135 STATION AQUARE C,ROCKY MOUNT,NC,27804,NC - Raleigh,1018,85559,12173053.35,13217623.33,17194632.33,100,,0.32,0.21,0.03,120,204,394,175,0.28,0.78,0.05,81,442,576,764,241,0,,,222,441,272,243,100,168,112,123,495,57,415,36,14,,
2014,341590,NATIVE ANGELS HOMECARE & HOSPICE,201 EAST LIVERMORE DRIVE,PEMBROKE,NC,28372,NC - Durham,65,2874,399718.83,437455.06,671275,100,0,1.24,0.15,0.03,54,,22,0,1.21,0.38,0.06,79,26,39,32,20,,,11,16,21,,19,0,14,,,65,0,0,0,0,0,0
2014,341589,COMMUNITY HOME CARE OF VANCE COUNTY,152 ZEB ROBINSON ROAD,HENDERSON,NC,27536,NC - Durham,665,56059,8071583.72,8685145.78,11145399.69,99,28,0.31,0.21,0.05,139,95,285,106,0.29,0.78,0.07,82,246,419,489,161,,,,247,194,164,214,45,123,65,54,368,192,15,79,,,0
2014,341586,COMMUNITY HOSPICE LLC,1423  SOUTH GLENBURNIE ROAD,NEW BERN,NC,28562,NC - Greenville,725,62570,8647562.92,9657610.59,12564555.09,100,11,0.27,0.19,0.05,84,134,277,131,0.26,0.73,0.08,80,311,414,527,189,0,,,63,249,227,179,49,112,86,72,443,141,14,113,13,,
2014,341585,COMMUNITY HOME CARE & HOSPICE,"2841 DAISY LANE, SUITE E",WILSON,NC,27896,NC - Raleigh,754,67991,9708813.76,10557004.44,13268034.77,100,31,0.27,0.15,0.05,111,95,308,145,0.3,0.59,0.07,81,291,463,544,201,,,,111,240,247,212,49,123,76,47,470,165,18,86,,,
2014,341584,DARE HOME HEALTH AND HOSPICE,109 EXETER STREET,MANTEO,NC,27954,VA - Norfolk,77,5403,737302.52,830478.03,1192597.54,100,0,0.28,0.21,0.04,,19,25,11,0.25,0.71,0.2,82,35,42,72,,,0,,,15,26,15,,,,17,59,14,0,,0,0,
2014,341587,HEARTLAND HOME HEALTH AND HOSPICE,"4505 FALLS OF NEUSE ROAD, SUITE 650",RALEIGH,NC,27609,NC - Raleigh,364,39891,5992577.3,6171756.48,9761423.78,99,0,0.39,0.22,0.07,50,39,184,82,0.41,0.91,0.22,82,147,217,268,83,,,,120,104,61,128,45,57,35,38,192,60,92,15,,,0
2014,341583,HOME HEALTH AND HOSPICE OF HALIFAX,1229 JULIAN R ALLSBROOK HIGHWAY,ROANOKE RAPIDS,NC,27870,NC - Raleigh,54,3515,479519.69,540099.86,672337.18,100,0,0.31,0.25,0.03,11,,15,,0.27,0.68,0.01,77,30,24,32,22,0,0,0,,,34,,0,,,,54,0,0,0,0,0,0
2014,341582,CONTINUUM HOME CARE & HOSPICE,3391 HENDERSON DRIVE EXTENSION,JACKSONVILLE,NC,28546,NC - Greenville,169,12481,1661451.91,1905482.23,3075129.67,99,54,0.72,0.27,0.07,27,31,57,24,0.76,0.87,0.14,83,67,102,145,16,,,,19,71,43,64,,22,,20,86,,0,73,0,0,
2014,341579,HOSPICE OF CARTERET COUNTY,"302 MEDICAL PARK CT, PO DRAWER 1619",MOREHEAD CITY,NC,28557,NC - Greenville,129,5664,790734.7,890296.87,1276808.14,99,34,0.21,0.34,0.03,21,31,31,,0.23,0.86,0.05,79,71,58,124,,0,,,20,11,49,19,,24,,19,122,,0,,0,0,0
2014,341578,CAROLINA EAST HOME CARE & HOSPICE INC,304 MAIN STREET,SEVEN SPRINGS,NC,28578,NC - Raleigh,11,925,133137.31,147783.24,257094.22,99,18,0.99,0.2,0.09,,,,,0.97,1.08,0.16,73,,,11,0,0,0,0,,,,,0,0,,,,,0,0,0,,0
2014,341577,ONSLOW COUNTY HOME HLTH & HOSP,2013 LEJEUNE BOULEVARD,JACKSONVILLE,NC,28546,NC - Greenville,31,1633,217841.23,250941.56,328792.11,100,0,0.32,0.18,0.02,,,,,0.44,0.4,0.04,77,20,,27,,0,,,,,13,,0,,,,31,0,0,0,0,0,0
2014,341576,COMMUNITY HOME CARE & HOSPICE,1231 NORTH MAIN STREET,LILLINGTON,NC,27546,NC - Raleigh,1664,165908,23654954.07,26044079.05,32295131.36,99,190,0.31,0.16,0.05,277,227,754,349,0.28,0.64,0.08,81,641,1023,1240,341,14,15,54,332,583,397,508,101,318,224,116,964,285,56,279,,50,
2014,341597,COMMUNITY HOME CARE AND HOSPICE,64 MEMORIAL DRIVE SUITE 2,ANDREWS,NC,28901,NC - Asheville,91,4130,563656.93,635338.23,819957.25,99,0,0.08,0.33,0.06,12,30,19,,0.08,1.07,0.07,77,44,47,87,0,0,,,16,28,35,13,,,18,13,70,,,16,0,0,0
2014,341575,NOVANT HEALTH HOSPICE AND PALLIATIVE CARE A DEVELO,324 N MCDOWELL STREET,CHARLOTTE,NC,28204,NC - Charlotte,562,19165,3837208.87,3992054.51,5595183.75,89,388,0.09,0.16,0.04,47,251,95,30,0.04,0.35,0.06,81,228,334,413,127,,13,,152,109,162,74,51,110,82,83,228,,12,20,259,37,
2014,341573,"HOSPICE OF MCDOWELL CO, INC",575 AIRPORT ROAD,MARION,NC,28752,NC - Asheville,218,26098,3625219.12,4101634.92,6413337.79,99,374,0.28,0.25,0.08,34,23,105,61,0.41,1.13,0.23,79,88,130,210,,,,0,49,68,58,41,,43,36,,166,,0,44,,0,0
2014,341571,ANGEL HOME HEALTH & HOSPICE,170 CHURCH STREET STE 1-A,FRANKLIN,NC,28734,NC - Asheville,98,6841,987733.42,1112428.4,1702408.9,98,49,0.17,0.16,0.05,,20,32,12,0.12,0.44,0.08,81,45,53,97,,0,0,,11,16,44,18,,13,,11,82,0,,0,15,0,
2014,341569,LIBERTY HOME CARE LLC,2550 SOUTH 41ST STREET,WILMINGTON,NC,28403,NC - Wilmington,766,60733,8610472.66,9350152.46,14068754.76,100,0,0.58,0.22,0.05,148,108,297,110,0.52,0.93,0.09,83,260,506,596,138,,,22,161,264,181,201,89,111,91,93,410,154,,198,,0,0
2014,341565,THE HOSPICE & PALLIATIVE CARE CENTER OF MITCHELL C,284 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,NC - Asheville,167,19826,2751150.24,3104947.95,3701212.67,99,180,0.19,0.19,0.04,18,19,93,42,0.19,0.95,0.12,82,73,94,165,,0,0,,34,74,39,,,46,26,33,105,,25,27,0,0,
2014,341564,HOSPICE OF YANCEY COUNTY,856 GEORGE'S FORK ROAD,BURNSVILLE,NC,28714,NC - Asheville,120,12257,1711391.36,1926575.46,2628343.28,99,,0.11,0.28,0.04,,18,58,23,0.09,1.31,0.1,82,42,78,116,,0,,,29,48,33,31,,23,19,,76,22,22,0,0,0,0
2014,341563,HOME HEALTH & HOSPICE OF PERSON COUNTY,355 A SOUTH MORGAN BOULEVARD,ROXBORO,NC,27573,NC - Durham,99,4824,756839.23,772435.72,1136487.9,98,0,0.22,0.21,0.06,,34,23,,0.17,0.85,0.11,82,41,58,79,19,0,,,28,25,35,20,,12,,21,86,0,0,,11,0,
2014,341562,CAPE FEAR VALLEY HOMECARE AND HOSPIC,"1830 OWEN DRIVE, SUITE 203",FAYETTEVILLE,NC,28304,NC - Raleigh,141,11957,1710842.56,1835577.51,2515810.19,100,0,0.23,0.2,0.05,30,21,59,20,0.28,0.74,0.09,78,54,87,99,37,0,,,37,26,59,25,,16,24,,130,,0,,0,0,0
2014,341561,JOHNSTON HEALTH HOME CARE AND HOSPICE,514 N BRIGHLEAF BLVD SUITE 1502,SMITHFIELD,NC,27577,NC - Raleigh,262,5210,1332611.41,1371668.02,5611832.09,79,208,0.88,0.24,0.02,15,115,23,,1.03,0.38,0.03,78,116,146,228,29,0,,,58,58,107,23,24,40,39,29,65,0,0,0,0,143,54
2014,341560,AMEDISYS HOSPICE,3320 US 1 HIGHWAY SUITE B,FRANKLINTON,NC,27525,NC - Raleigh,349,26086,3798332.59,4016719.75,7228127.25,99,0,0.3,0.35,0.08,84,47,131,45,0.31,1.01,0.16,82,152,197,268,73,,,,95,72,88,98,14,53,53,43,246,76,,26,0,0,
2014,341559,ALBEMARLE HOSPICE,311 CEDAR STREET,ELIZABETH CITY,NC,27909,VA - Norfolk,228,7464,1038601.77,1148798.77,2343660.34,100,0,0.26,0.36,0.06,14,71,40,,0.26,0.78,0.08,81,105,123,190,37,0,,,30,48,99,19,14,26,21,49,168,29,0,31,0,0,0
2014,341557,"HOSPICE OF THE CAROLINA FOOTHILLS, INC",130 FOREST GLEN DRIVE,COLUMBUS,NC,28722,SC - Spartanburg,141,11216,1645711.92,1841102.69,2541627.53,98,68,0.23,0.32,0.06,11,20,61,17,0.24,1.03,0.11,85,45,96,137,,0,0,,26,38,36,41,,24,,19,55,28,0,55,0,,
2014,341556,RICHMOND COUNTY HOSPICE INC,1119 N US #1 HWY,ROCKINGHAM,NC,28379,NC - Charlotte,242,22939,3952135.32,4407254.36,8941546.45,93,1409,0.62,0.32,0.02,24,32,112,51,0.9,0.98,0.02,79,103,139,184,56,0,,,19,94,69,50,16,45,32,30,140,12,30,16,,43,
2014,341555,HOSPICE OF SCOTLAND COUNTY,610 LAUCHWOOD DR,LAURINBURG,NC,28353,NC - Durham,319,20136,3219452.05,3617305.65,4884582.81,96,659,0.17,0.23,0.05,34,86,99,29,0.24,0.58,0.1,79,144,175,198,86,,,33,52,128,104,35,24,40,38,78,156,13,,69,13,67,
2014,341554,GOOD SHEPHERD HOME HLTH & HOSP,125 MEDICAL PARK LANE SUITE H,MURPHY,NC,28906,GA - Atlanta,77,3605,488504.7,550095.12,795796.64,100,0,0.19,0.37,0.06,11,23,15,,0.17,1.03,0.13,81,38,39,70,,,,,12,23,27,16,,11,,,74,0,0,,,0,0
2014,341553,HOSPICE OF DAVIDSON COUNTY,200 HOSPICE WAY,LEXINGTON,NC,27292,NC - Winston-Salem,667,35076,6087287.98,6641293.97,11950702.57,94,1598,0.29,0.28,0.05,26,231,159,63,0.78,1.08,0.09,80,306,361,620,42,,0,,308,194,204,131,48,119,77,88,291,46,0,99,,221,
2014,341551,HOME HEALTH & HOSPICE/KITTY AS,2402 WAYNE MEMORIAL DRIVE,GOLDSBORO,NC,27534,NC - Raleigh,1155,45845,8360226.02,9157898.7,19379482.56,91,864,0.63,0.57,0.06,101,386,218,64,0.98,1.34,0.06,80,513,642,901,236,,,,216,242,450,110,155,246,99,95,507,81,,50,,422,94
2014,341550,HAYWOOD HOSPICE AND PALLIATIVE CARE,127 SUNSET RIDGE ROAD,CLYDE,NC,28721,NC - Asheville,256,10364,1675425.4,1836612.66,4052662.76,93,344,0.14,0.48,0.1,23,91,54,,0.14,1.49,0.21,80,111,145,251,,0,,,67,65,87,25,15,44,35,50,131,,,35,65,20,0
2014,341549,HARRIS PALLIATIVE CARE AND HOSPICE,"26 WESTCARE DRIVE, SUITE 301",SYLVA,NC,28779,NC - Asheville,157,8780,1381950.52,1550169.67,1524490.04,95,0,0.02,0.04,0.01,17,30,45,12,0.02,0.11,0.02,77,79,78,146,0,0,,,24,49,63,24,,23,26,,127,0,,,20,0,0
2014,341548,TRANSYLVANIA HOME CARE AND HOSPICE,"1266 ASHEVILLE HWY, SUITE 5",BREVARD,NC,28712,NC - Asheville,122,5270,765692.44,863328.46,1285252.37,98,0,0.32,0.42,0.09,11,38,28,,0.36,0.91,0.18,82,59,63,120,,0,0,,26,15,45,13,,23,,24,69,30,0,,21,0,
2014,341546,MOUNTAIN VALLEY HOSPICE & PALLIATIVE CARE,129 VETERANS DRIVE,PILOT MOUNTAIN,NC,27041,NC - Winston-Salem,906,62488,10763193.71,12012726.92,36391583.17,94,3911,0.62,0.39,0.07,67,225,274,121,0.85,1.37,0.13,80,360,546,886,14,,,,364,318,288,157,49,84,167,161,462,57,,138,85,161,
2014,341545,CRAVEN COUNTY HOSPICE,2818 NEUSE BLVD,NEW BERN,NC,28560,NC - Greenville,121,6444,878366.22,992139.3,1295136.73,100,0,0.21,0.26,0.05,11,26,33,,0.29,0.95,0.09,80,72,49,102,16,0,,,,15,61,,,13,19,19,113,,0,,0,0,0
2014,341543,HOSPICE OF ROBESON,2002 N CEDAR STREET,LUMBERTON,NC,28358,NC - Durham,239,6945,1582999.37,1774758.51,2173034.52,80,14,0.26,0.19,0.05,23,88,29,,0.09,0.36,0.06,78,104,135,137,52,0,0,50,56,100,90,28,23,29,21,48,85,0,21,0,0,133,0
2014,341542,HOSPICE OF STANLY COUNTY INC,960 NORTH FIRST ST,ALBEMARLE,NC,28001,NC - Charlotte,252,14736,2074388.16,2337659.2,3000491.89,99,184,0.19,0.23,0.07,21,65,74,23,0.27,0.77,0.13,79,116,136,232,18,0,,,46,66,85,39,14,48,33,33,185,,0,44,16,0,
2014,341541,"HEALTHKEEPERZ, INC","1830 OWEN DRIVE, SUITES 10 & 20",FAYETTEVILLE,NC,28303,NC - Raleigh,178,15050,2227272.55,2420805.3,3193387.88,98,150,0.22,0.24,0.09,31,18,77,34,0.2,0.62,0.21,78,72,106,93,51,,,23,33,54,42,37,13,20,30,36,159,,0,14,,,0
2014,341540,MADISON HOME CARE AND HOSPICE,590 MEDICAL PARK DRIVE,MARSHALL,NC,28753,NC - Asheville,53,5049,731122.85,804229.96,1066287.22,99,37,0.4,0.2,0.04,,,25,11,0.59,0.46,0.05,80,23,30,53,0,0,0,0,,11,13,,,15,,,50,,0,,0,,0
2014,341539,MEDI HOME HEALTH AND HOSPICE,"400 SHADOWLINE DRIVE, SUITE 102",BOONE,NC,28607,TN - Johnson City,310,30695,4201380.85,4733819.27,6224349.01,99,0,0.15,0.17,0.04,47,39,153,63,0.15,0.6,0.09,82,136,174,307,,0,,0,70,89,83,93,18,42,37,37,229,37,0,41,,0,
2014,341538,CAROLINA EAST HOME CARE AND HOSPICE,401 NORTH MAIN ST,KENANSVILLE,NC,28349,NC - Greenville,136,5756,1027545.91,1151496.99,2183511.58,92,503,1,0.49,0.11,,49,26,,1.18,1.42,0.23,82,56,80,110,25,0,,,22,40,43,24,29,,,21,38,23,0,,,47,26
2014,341537,LIBERTY HOME CARE AND HOSPICE,336 S MAIN STREET,RAEFORD,NC,28376,NC - Durham,663,54247,7745358.81,8366937.52,14011011.94,100,0,0.65,0.34,0.07,107,92,270,95,0.61,0.99,0.15,83,239,424,539,112,,,,172,263,154,161,74,116,67,91,360,62,0,240,0,,
2014,341536,"HOSPICE OF GASTON COUNTY, INC","258 E GARRISON BLVD, WATERTOWN PLACE",GASTONIA,NC,28054,NC - Charlotte,959,47165,8097450.9,8440334.72,15974194.02,96,1471,0.3,0.36,0.06,81,302,245,63,0.73,0.93,0.1,80,408,551,856,97,,,,255,244,266,179,45,153,129,187,444,96,117,,108,151,
2014,341535,CATAWBA REGIONAL HOSPICE,3967 ROBINSON ROAD,NEWTON,NC,28658,NC - Hickory,1251,99378,16238664.06,17759230.91,27396309.28,95,3893,0.25,0.29,0.06,59,358,426,212,0.61,1.12,0.12,80,512,739,1164,60,14,,,295,336,339,269,88,178,181,196,571,117,,193,20,326,
2014,341534,FIRSTHEALTH HOSPICE,251 CAMPGROUND ROAD,PINEHURST,NC,28374,NC - Durham,739,44885,7331950.22,8230574.12,18680824.97,95,2490,0.32,0.31,0.04,65,231,206,86,0.63,1.39,0.08,81,335,404,639,79,,,11,140,168,226,150,61,130,86,86,299,77,0,118,,237,
